Precision,Recall
0.895321217,0.138617121
0.896183597,0.135145998
0.897152897,0.131699123
0.897896329,0.128209264
0.898740812,0.124740345
0.899683504,0.121250486
0.900554302,0.117766137
0.901588369,0.114300158
0.90262401,0.110795603
0.903504807,0.107230795
0.904573049,0.103739466
0.905394056,0.10020258
0.906269483,0.096660918
0.907109891,0.093076639
0.907784578,0.089472888
0.908585352,0.085895956
0.90947835,0.082321596
0.91016934,0.078729601
0.9109622,0.075117033
0.911742249,0.071507771
0.912655048,0.067931941
0.913324918,0.064330027
0.914009005,0.060711948
0.914409324,0.057074029
0.915027869,0.05343758
0.915686579,0.049800028
0.916443797,0.04620289
0.916974827,0.042544765
0.917041505,0.038874148
0.917001147,0.03525313
0.917417609,0.031643133
0.9176431,0.028053342
0.917508696,0.024419832
0.916957929,0.020819388
0.915575647,0.017188449
0.91212472,0.013606374
0.908480882,0.010047445
0.901583596,0.00652599
0.904880323,0.003208437
1,0
